GLN,GLNStarfood,Empresa,Ctacte,NombreCliente,Numero,Fecha,TipoPlazoPago,PlazoPago,FechaVcto,UniqueId,SalesDepartament,TipoOC,Promocion,NroInternoProveedor,DireccionDespacho 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00033990570",05/12/2020 11:47:00,"DAYS",60,05/18/2020 00:00:00,"780791322000033990570","","","","","7808800120507" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00033936720",04/20/2020 10:33:00,"DAYS",60,04/27/2020 00:00:00,"780791322000033936720","","","","","7808810008406" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00034083280",08/01/2020 13:17:00,"DAYS",60,08/10/2020 00:00:00,"780791322000034083280","","","","","7808800120507" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00033742260",02/24/2020 13:19:00,"DAYS",60,03/02/2020 00:00:00,"780791322000033742260","","","","","7808810008406" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00033829480",03/18/2020 10:35:00,"DAYS",60,03/23/2020 00:00:00,"780791322000033829480","","","","","7808800108642" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00034033020",06/08/2020 10:34:00,"DAYS",60,06/15/2020 00:00:00,"780791322000034033020","","","","","7808800125588" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00034013500",05/25/2020 10:32:00,"DAYS",60,06/01/2020 00:00:00,"780791322000034013500","","","","","7808800123072" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00033794690",03/09/2020 10:33:00,"DAYS",60,03/16/2020 00:00:00,"780791322000033794690","","","","","7808810008406" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00033897180",04/06/2020 10:33:00,"DAYS",60,04/13/2020 00:00:00,"780791322000033897180","","","","","7808800108642" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00033549650",01/08/2020 12:48:00,"DAYS",60,01/13/2020 00:00:00,"780791322000033549650","","","","","7808800085820" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00033922480",04/14/2020 11:48:00,"DAYS",60,04/20/2020 00:00:00,"780791322000033922480","","","","","7808810005658" 
"7808800117842","7801434CL0001","002","","","70002086655",04/23/2020 00:00:00,"DAYS",30,04/25/2020 00:00:00,"780791422070002086655","","","","","7807975001925" 
"7808800117842","7801434CL0001","002","","","70002135155",05/25/2020 00:00:00,"DAYS",30,05/29/2020 00:00:00,"780791422070002135155","","","","","7808800107607" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00033550000",01/08/2020 13:18:00,"DAYS",60,01/13/2020 00:00:00,"780791322000033550000","","","","","7808810007126" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00033897010",04/06/2020 10:33:00,"DAYS",60,04/13/2020 00:00:00,"780791322000033897010","","","","","7808800108642" 
"7808800117842","7801434CL0001","002","","","70002187311",06/29/2020 00:00:00,"DAYS",30,07/03/2020 00:00:00,"780791422070002187311","","","","","7808800107607" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00033691450",02/12/2020 10:32:00,"DAYS",60,02/17/2020 00:00:00,"780791322000033691450","","","","","7808800016008" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00033870640",03/30/2020 10:32:00,"DAYS",60,04/06/2020 00:00:00,"780791322000033870640","","","","","7808800125588" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00034061460",07/06/2020 10:32:00,"DAYS",60,07/13/2020 00:00:00,"780791322000034061460","","","","","7808810008406" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00033765240",02/29/2020 10:32:00,"DAYS",60,03/02/2020 00:00:00,"780791322000033765240","","","","","7808800001332" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00033529400",01/03/2020 11:22:00,"DAYS",60,01/06/2020 00:00:00,"780791322000033529400","","","","","7808800120507" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00033924060",04/15/2020 10:32:00,"DAYS",60,04/20/2020 00:00:00,"780791322000033924060","","","","","7808800108642" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00033848260",03/24/2020 10:32:00,"DAYS",60,03/30/2020 00:00:00,"780791322000033848260","","","","","7808800123072" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00034052980",06/25/2020 10:32:00,"DAYS",60,06/29/2020 00:00:00,"780791322000034052980","","","","","7808810008406" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00033892430",04/03/2020 13:52:00,"DAYS",60,04/06/2020 00:00:00,"780791322000033892430","","","","","7808810007126" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00033769980",03/02/2020 10:53:00,"DAYS",60,03/09/2020 00:00:00,"780791322000033769980","","","","","7808810008406" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00033535810",01/06/2020 10:32:00,"DAYS",60,01/13/2020 00:00:00,"780791322000033535810","","","","","7808810007096" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00033875520",03/30/2020 14:34:00,"DAYS",60,04/06/2020 00:00:00,"780791322000033875520","","","","","7808810008383" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00033852630",03/24/2020 17:30:00,"DAYS",60,03/26/2020 00:00:00,"780791322000033852630","","","","","7808810005658" 
"7808800117842","7801434CL0001","002","","","70002196766",07/06/2020 00:00:00,"DAYS",30,07/10/2020 00:00:00,"780791422070002196766","","","","","7807975001925" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00033772070",03/02/2020 13:34:00,"DAYS",60,03/09/2020 00:00:00,"780791322000033772070","","","","","7808800076491" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00033551550",01/09/2020 10:32:00,"DAYS",60,01/13/2020 00:00:00,"780791322000033551550","","","","","7808800109915" 
"7808800117842","7801434CL0001","002","","","70002134066",05/25/2020 00:00:00,"DAYS",30,05/29/2020 00:00:00,"780791422070002134066","","","","","7807975001925" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00033742290",02/24/2020 13:19:00,"DAYS",60,03/02/2020 00:00:00,"780791322000033742290","","","","","7808810008406" 
"7808800117842","7801434CL0001","002","","","47609468411",03/14/2020 00:00:00,"DAYS",30,03/16/2020 00:00:00,"780791422047609468411","","","","","7807975000089" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00033847160",03/23/2020 14:24:00,"DAYS",60,04/06/2020 00:00:00,"780791322000033847160","","","","","7808800120507" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00034083270",08/01/2020 13:17:00,"DAYS",60,08/10/2020 00:00:00,"780791322000034083270","","","","","7808800120507" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00033553570",01/09/2020 10:33:00,"DAYS",60,01/13/2020 00:00:00,"780791322000033553570","","","","","7808800001349" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00033962240",04/29/2020 10:32:00,"DAYS",60,05/04/2020 00:00:00,"780791322000033962240","","","","","7808800001332" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00033550430",01/08/2020 15:19:00,"DAYS",60,01/13/2020 00:00:00,"780791322000033550430","","","","","7808800120507" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00034067190",07/13/2020 10:32:00,"DAYS",60,07/20/2020 00:00:00,"780791322000034067190","","","","","7808800120507" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00033932530",04/17/2020 10:57:00,"DAYS",60,04/20/2020 00:00:00,"780791322000033932530","","","","","7808800001356" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00033709940",02/17/2020 10:33:00,"DAYS",60,02/24/2020 00:00:00,"780791322000033709940","","","","","7808810008406" 
"7808800117842","7801434CL0001","002","","","47616120066",04/13/2020 00:00:00,"DAYS",30,04/14/2020 00:00:00,"780791422047616120066","","","","","7807975000423" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00033989500",05/12/2020 10:32:00,"DAYS",60,05/18/2020 00:00:00,"780791322000033989500","","","","","7808810008383" 
"7807913CL0001","7801434CL0001","002","93307000","SUPERMERCADOS MONTSERRAT S.A.C.","00033812960",03/13/2020 10:53:00,"DAYS",60,03/16/2020 00:00:00,"780791322000033812960","","","","","7808810005658" 
