Empresa,Numero,Linea,Precio,ListaPrecio,Cantidad,CantidadUnitType,UnidadContenida,UnidadContenidaUnitType,Item,ItemBuyer,ItemVendor,ItemSize,ItemColor,Descripcion,Total,ItemFlexline,Item_Cod_Barras,GlosaSisPal,ListaPrecioFlexline,PrecioFlexline,FechaInicio,FechaFin,UnidadFlexline,VigenciaProductoFlexline,CantidadConvertidaFlexline,PrecioConvertidoFlexline,TotalConvertidoFlexline,Observaciones 
"008","9900544785",1,6000,"LIU",40,"CSC",8,"SIN","27804647530565","000643488","ARENA056","2KG","BOL","VIRUTA VEGETAL",240000,"417011L221N","7804647530561","Viruta Biod Loops 8x2 kg.","LIDER 4",750,11/22/2017 00:00:00,08/31/2020 00:00:00,"UN","S",320,750,74880000,"" 
"008","9900544785",2,11700,"LIU",72,"CSC",18,"SIN","27804647530848","000643489","CONEJO084","1KG","BOL","ALIMENTO CONEJO",842400,"121082L211N","7804647530844","Alim Conejo Lopps 18x1 kg.","LIDER 4",650,11/22/2017 00:00:00,08/31/2020 00:00:00,"UN","S",1296,650,262828800,"" 
"008","9900544785",3,7348,"LIU",210,"CSC",4,"SIN","27804647530411","000643493","ARENA041","4.5KG","BOL","ARENA SANITARIA BIOD",1543080,"411021L246N","7804647530417","Arena Sanit. Biod Loops 4x4,5 ","LIDER 4",1837,11/22/2017 00:00:00,08/31/2020 00:00:00,"UN","S",840,1837,481440960,"" 
"008","9900544785",4,8000,"LIU",60,"CSC",4,"SIN","27804647530831","000643494","ARENA083","4.5KG","BOL","ARENA SANITARIA PINO",480000,"411031L246N","7804647530837","Arena Sanit. Pellet Pino Loops","LIDER 4",2000,11/22/2017 00:00:00,08/31/2020 00:00:00,"UN","S",240,2000,149760000,"" 
"008","9900544785",5,6316,"LIU",108,"CSC",4,"SIN","27804647531654","000643497","ARENA165","4KG","BOL","ARENA SANITARIA",682128,"411011C241N","7804647531650","Arena Sanit. Piedra Acuenta 4x","LIDER 4",1579,11/22/2017 00:00:00,08/31/2020 00:00:00,"UN","S",432,1579,212823936,"" 
"008","9900545295",1,6000,"LIU",80,"CSC",8,"SIN","27804647530565","000643488","ARENA056","2KG","BOL","VIRUTA VEGETAL",480000,"417011L221N","7804647530561","Viruta Biod Loops 8x2 kg.","LIDER 4",750,11/22/2017 00:00:00,08/31/2020 00:00:00,"UN","S",640,750,149280000,"" 
"008","9900545295",2,8000,"LIU",120,"CSC",4,"SIN","27804647530831","000643494","ARENA083","4.5KG","BOL","ARENA SANITARIA PINO",960000,"411031L246N","7804647530837","Arena Sanit. Pellet Pino Loops","LIDER 4",2000,11/22/2017 00:00:00,08/31/2020 00:00:00,"UN","S",480,2000,298560000,"" 
"008","9900545295",3,9000,"LIU",72,"CSC",4,"SIN","27804647530398","000643496","ARENA039","4.5KG","BOL","ARENA SANITARIA",648000,"411011L246N","7804647530394","Arena Sanit. Piedra Loops 4x4,","LIDER 4",2250,11/22/2017 00:00:00,08/31/2020 00:00:00,"UN","S",288,2250,201528000,"" 
"008","9900545295",4,6316,"LIU",216,"CSC",4,"SIN","27804647531654","000643497","ARENA165","4KG","BOL","ARENA SANITARIA",1364256,"411011C241N","7804647531650","Arena Sanit. Piedra Acuenta 4x","LIDER 4",1579,11/22/2017 00:00:00,08/31/2020 00:00:00,"UN","S",864,1579,424283616,"" 
"008","9900545295",5,6312,"LIU",36,"CSC",8,"SIN","27804647531647","000643498","ARENA164","2KG","BOL","ARENA SANITARIA",227232,"411011C221N","7804647531643","Arena Sanit. Piedra Acuenta 8x","LIDER 4",789,11/22/2017 00:00:00,08/31/2020 00:00:00,"UN","S",288,789,70669152,"" 
"008","9900545025",1,7348,"LIU",30,"CSC",4,"SIN","27804647530411","000658106","411021L246N","4,5KG","MAY","AREN LOOPS BIO 4.5KG",220440,"411021L246N","7804647530417","Arena Sanit. Biod Loops 4x4,5 ","LIDER 4",1837,11/22/2017 00:00:00,08/31/2020 00:00:00,"UN","S",120,1837,68336400,"" 
"008","7600570380",1,16200,"LIU",12,"CSC",18,"SIN","27804647530879","000643487","HAMSTER087","1KG","BOL","ALIM HAMSTER 1000",194400,"121081L206N","7804647530875","Alim Hamsters Loops 18x1 kg.","LIDER 4",900,11/22/2017 00:00:00,08/31/2020 00:00:00,"UN","S",216,900,60069600,"" 
"008","7600570212",1,16200,"LIU",30,"CSC",18,"SIN","27804647530879","000643487","HAMSTER087","1KG","BOL","ALIM HAMSTER 1000",486000,"121081L206N","7804647530875","Alim Hamsters Loops 18x1 kg.","LIDER 4",900,11/22/2017 00:00:00,08/31/2020 00:00:00,"UN","S",540,900,149688000,"" 
"008","8500570905",1,20250,"LIU",30,"CSC",18,"SIN","17791416001315","000583585","RAZA-131","1KG","BOL","ALIM SEC PESCADO 1KG",607500,"123025M248N","7791416001318","Al Gato Raza Pescado Pk 18x1kg","LIDER 4",1125,11/22/2017 00:00:00,08/31/2020 00:00:00,"UN","S",540,1125,186502500,"" 
"008","8500570905",2,6312,"LIU",72,"CSC",8,"SIN","27804647531647","000643498","ARENA164","2KG","BOL","ARENA SANITARIA",454464,"411011C221N","7804647531643","Arena Sanit. Piedra Acuenta 8x","LIDER 4",789,11/22/2017 00:00:00,08/31/2020 00:00:00,"UN","S",576,789,139520448,"" 
"008","9900545614",1,6000,"LIU",100,"CSC",8,"SIN","27804647530565","000643488","ARENA056","2KG","BOL","VIRUTA VEGETAL",600000,"417011L221N","7804647530561","Viruta Biod Loops 8x2 kg.","LIDER 4",750,11/22/2017 00:00:00,08/31/2020 00:00:00,"UN","S",800,750,183600000,"" 
"008","9900545614",2,11700,"LIU",72,"CSC",18,"SIN","27804647530848","000643489","CONEJO084","1KG","BOL","ALIMENTO CONEJO",842400,"121082L211N","7804647530844","Alim Conejo Lopps 18x1 kg.","LIDER 4",650,11/22/2017 00:00:00,08/31/2020 00:00:00,"UN","S",1296,650,257774400,"" 
"008","9900545614",3,18900,"LIU",24,"CSC",18,"SIN","27804647530794","000643491","CANARIO079","1KG","BOL","ALIMENTO CANARIO",453600,"121085L247N","7804647530790","Alim Canario Loops 18x1 kg.","LIDER 4",1050,11/22/2017 00:00:00,08/31/2020 00:00:00,"UN","S",432,1050,138801600,"" 
"008","9900545614",4,7348,"LIU",480,"CSC",4,"SIN","27804647530411","000643493","ARENA041","4.5KG","BOL","ARENA SANITARIA BIOD",3527040,"411021L246N","7804647530417","Arena Sanit. Biod Loops 4x4,5 ","LIDER 4",1837,11/22/2017 00:00:00,08/31/2020 00:00:00,"UN","S",1920,1837,1079274240,"" 
"008","9900545614",5,8000,"LIU",120,"CSC",4,"SIN","27804647530831","000643494","ARENA083","4.5KG","BOL","ARENA SANITARIA PINO",960000,"411031L246N","7804647530837","Arena Sanit. Pellet Pino Loops","LIDER 4",2000,11/22/2017 00:00:00,08/31/2020 00:00:00,"UN","S",480,2000,293760000,"" 
"008","9900545614",6,9000,"LIU",72,"CSC",4,"SIN","27804647530398","000643496","ARENA039","4.5KG","BOL","ARENA SANITARIA",648000,"411011L246N","7804647530394","Arena Sanit. Piedra Loops 4x4,","LIDER 4",2250,11/22/2017 00:00:00,08/31/2020 00:00:00,"UN","S",288,2250,198288000,"" 
"008","9900545614",7,6316,"LIU",252,"CSC",4,"SIN","27804647531654","000643497","ARENA165","4KG","BOL","ARENA SANITARIA",1591632,"411011C241N","7804647531650","Arena Sanit. Piedra Acuenta 4x","LIDER 4",1579,11/22/2017 00:00:00,08/31/2020 00:00:00,"UN","S",1008,1579,487039392,"" 
"008","9900545614",8,6312,"LIU",72,"CSC",8,"SIN","27804647531647","000643498","ARENA164","2KG","BOL","ARENA SANITARIA",454464,"411011C221N","7804647531643","Arena Sanit. Piedra Acuenta 8x","LIDER 4",789,11/22/2017 00:00:00,08/31/2020 00:00:00,"UN","S",576,789,139065984,"" 
"008","5400570192",1,18144,"LIU",64,"CSC",6,"SIN","17791416066833","000580719","RAZA683","3KG","BOL","ALIM RAZA PEZ",1161216,"123025M256N","7791416066836","Al Gato Raza Pescado Pk 6x3kg","LIDER 4",3024,11/22/2017 00:00:00,08/31/2020 00:00:00,"UN","S",384,3024,354170880,"" 
"008","5400570192",2,20250,"LIU",19,"CSC",18,"SIN","17791416001315","000583585","RAZA-131","1KG","BOL","ALIM SEC PESCADO 1KG",384750,"123025M248N","7791416001318","Al Gato Raza Pescado Pk 18x1kg","LIDER 4",1125,11/22/2017 00:00:00,08/31/2020 00:00:00,"UN","S",342,1125,117348750,"" 
"008","5400570192",3,7348,"LIU",148,"CSC",4,"SIN","27804647530411","000643493","ARENA041","4.5KG","BOL","ARENA SANITARIA BIOD",1087504,"411021L246N","7804647530417","Arena Sanit. Biod Loops 4x4,5 ","LIDER 4",1837,11/22/2017 00:00:00,08/31/2020 00:00:00,"UN","S",592,1837,331688720,"" 
"008","5400570192",4,6316,"LIU",138,"CSC",4,"SIN","27804647531654","000643497","ARENA165","4KG","BOL","ARENA SANITARIA",871608,"411011C241N","7804647531650","Arena Sanit. Piedra Acuenta 4x","LIDER 4",1579,11/22/2017 00:00:00,08/31/2020 00:00:00,"UN","S",552,1579,265840440,"" 
"008","5400570192",5,6312,"LIU",130,"CSC",8,"SIN","27804647531647","000643498","ARENA164","2KG","BOL","ARENA SANITARIA",820560,"411011C221N","7804647531643","Arena Sanit. Piedra Acuenta 8x","LIDER 4",789,11/22/2017 00:00:00,08/31/2020 00:00:00,"UN","S",1040,789,250270800,"" 
"008","9900545922",1,16200,"LIU",24,"CSC",18,"SIN","27804647530879","000643487","HAMSTER087","1KG","BOL","ALIM HAMSTER 1000",388800,"121081L206N","7804647530875","Alim Hamsters Loops 18x1 kg.","LIDER 4",900,11/22/2017 00:00:00,08/31/2020 00:00:00,"UN","S",432,900,118195200,"" 
"008","9900545922",2,6000,"LIU",160,"CSC",8,"SIN","27804647530565","000643488","ARENA056","2KG","BOL","VIRUTA VEGETAL",960000,"417011L221N","7804647530561","Viruta Biod Loops 8x2 kg.","LIDER 4",750,11/22/2017 00:00:00,08/31/2020 00:00:00,"UN","S",1280,750,291840000,"" 
"008","9900545922",3,11700,"LIU",48,"CSC",18,"SIN","27804647530848","000643489","CONEJO084","1KG","BOL","ALIMENTO CONEJO",561600,"121082L211N","7804647530844","Alim Conejo Lopps 18x1 kg.","LIDER 4",650,11/22/2017 00:00:00,08/31/2020 00:00:00,"UN","S",864,650,170726400,"" 
"008","9900545922",4,18360,"LIU",24,"CSC",18,"SIN","27804647530800","000643490","CATA080","1KG","BOL","ALIMENTO CATA",440640,"121086L247N","7804647530806","Alim Catas Loops 18x1 kg.","LIDER 4",1020,11/22/2017 00:00:00,08/31/2020 00:00:00,"UN","S",432,1020,133954560,"" 
"008","9900545922",5,18900,"LIU",24,"CSC",18,"SIN","27804647530794","000643491","CANARIO079","1KG","BOL","ALIMENTO CANARIO",453600,"121085L247N","7804647530790","Alim Canario Loops 18x1 kg.","LIDER 4",1050,11/22/2017 00:00:00,08/31/2020 00:00:00,"UN","S",432,1050,137894400,"" 
