Empresa,Numero,Linea,Precio,ListaPrecio,Cantidad,CantidadUnitType,UnidadContenida,UnidadContenidaUnitType,Item,ItemBuyer,ItemVendor,ItemSize,ItemColor,Descripcion,Total,ItemFlexline,Item_Cod_Barras,GlosaSisPal,ListaPrecioFlexline,PrecioFlexline,FechaInicio,FechaFin,UnidadFlexline,VigenciaProductoFlexline,CantidadConvertidaFlexline,PrecioConvertidoFlexline,TotalConvertidoFlexline,Observaciones 
"002","00033990570",1,368.4,"LIU",1,"CSC",25,"SIN","07801434001341","","","","","CHOCOLATE DULCE 150GR.            *",6649.62,"No Existe!","","Producto No Existe en Syspal o no posee código Flexline","",0,01/01/0001 00:00:00,01/01/0001 00:00:00,"","",1,368.4,368.4,"" 
"002","00033936720",1,368.4,"LIU",1,"CSC",25,"SIN","07801434001341","","","","","CHOCOLATE DULCE 150GR.            *",6649.62,"No Existe!","","Producto No Existe en Syspal o no posee código Flexline","",0,01/01/0001 00:00:00,01/01/0001 00:00:00,"","",1,368.4,368.4,"" 
"002","00033936720",2,171.1,"LIU",1,"CSC",50,"SIN","07801434001389","","","","","DECORACION MULTICOLOR 20GR.       *",6176.71,"No Existe!","","Producto No Existe en Syspal o no posee código Flexline","",0,01/01/0001 00:00:00,01/01/0001 00:00:00,"","",1,171.1,171.1,"" 
"002","00033936720",3,160.5,"LIU",1,"CSC",50,"SIN","07801434001372","","","","","MOSTACILLA 20GR.                  *",5794.05,"No Existe!","","Producto No Existe en Syspal o no posee código Flexline","",0,01/01/0001 00:00:00,01/01/0001 00:00:00,"","",1,160.5,160.5,"" 
"002","00033936720",4,210.5,"LIU",1,"CSC",50,"SIN","07801434001396","","","","","PERLITAS PLATEADAS 10GR.          *",7599.05,"No Existe!","","Producto No Existe en Syspal o no posee código Flexline","",0,01/01/0001 00:00:00,01/01/0001 00:00:00,"","",1,210.5,210.5,"" 
"002","00034083280",1,84.2,"LIU",1,"CSC",50,"SIN","07801434001440","","","","","BICARBONATO 30GR.                 *",3039.62,"No Existe!","","Producto No Existe en Syspal o no posee código Flexline","",0,01/01/0001 00:00:00,01/01/0001 00:00:00,"","",1,84.2,84.2,"" 
"002","00034083280",2,342.2,"LIU",1,"CSC",25,"SIN","07801434001310","","","","","CHUNO 150GR.                      *",6176.71,"No Existe!","","Producto No Existe en Syspal o no posee código Flexline","",0,01/01/0001 00:00:00,01/01/0001 00:00:00,"","",1,342.2,342.2,"" 
"002","00034083280",3,368.4,"LIU",1,"CSC",25,"SIN","07801434001341","","","","","CHOCOLATE DULCE 150GR.            *",6649.62,"No Existe!","","Producto No Existe en Syspal o no posee código Flexline","",0,01/01/0001 00:00:00,01/01/0001 00:00:00,"","",1,368.4,368.4,"" 
"002","00034083280",4,160.5,"LIU",1,"CSC",50,"SIN","07801434001365","","","","","DECORACION CHOCOLATE 20GR.        *",5794.05,"No Existe!","","Producto No Existe en Syspal o no posee código Flexline","",0,01/01/0001 00:00:00,01/01/0001 00:00:00,"","",1,160.5,160.5,"" 
"002","00033742260",1,183,"LIU",1,"CSC",50,"SIN","07801434001846","","","","","OREGANO ENTERO 20GR.              *",6606.3,"No Existe!","","Producto No Existe en Syspal o no posee código Flexline","",0,01/01/0001 00:00:00,01/01/0001 00:00:00,"","",1,183,183,"" 
"002","00033742260",2,114.5,"LIU",1,"CSC",50,"SIN","07801434000870","","","","","ALINO COMPLETO 15GR.              *",4133.45,"No Existe!","","Producto No Existe en Syspal o no posee código Flexline","",0,01/01/0001 00:00:00,01/01/0001 00:00:00,"","",1,114.5,114.5,"" 
"002","00033742260",3,131.6,"LIU",1,"CSC",50,"SIN","07801434001150","","","","","POLVO CURRY 10GR.                 *",4750.76,"No Existe!","","Producto No Existe en Syspal o no posee código Flexline","",0,01/01/0001 00:00:00,01/01/0001 00:00:00,"","",1,131.6,131.6,"" 
"002","00033742260",4,131.6,"LIU",1,"CSC",50,"SIN","07801434001211","","","","","OREGANO MOLIDO 10GR.              *",4750.76,"No Existe!","","Producto No Existe en Syspal o no posee código Flexline","",0,01/01/0001 00:00:00,01/01/0001 00:00:00,"","",1,131.6,131.6,"" 
"002","00033742260",5,131.6,"LIU",1,"CSC",50,"SIN","07801434000993","","","","","AJO EN POLVO 15GR.                *",4750.76,"No Existe!","","Producto No Existe en Syspal o no posee código Flexline","",0,01/01/0001 00:00:00,01/01/0001 00:00:00,"","",1,131.6,131.6,"" 
"002","00033742260",6,126.3,"LIU",1,"CSC",50,"SIN","07801434001068","","","","","CLAVO DE OLOR ENTERO 4GR.         *",4559.43,"No Existe!","","Producto No Existe en Syspal o no posee código Flexline","",0,01/01/0001 00:00:00,01/01/0001 00:00:00,"","",1,126.3,126.3,"" 
"002","00033742260",7,139.6,"LIU",1,"CSC",50,"SIN","07801434000955","","","","","AJI DE COLOR 15GR.                *",5039.56,"No Existe!","","Producto No Existe en Syspal o no posee código Flexline","",0,01/01/0001 00:00:00,01/01/0001 00:00:00,"","",1,139.6,139.6,"" 
"002","00033742260",8,200,"LIU",1,"CSC",50,"SIN","07801434001143","","","","","HOJA DE LAUREL                    *",7220,"No Existe!","","Producto No Existe en Syspal o no posee código Flexline","",0,01/01/0001 00:00:00,01/01/0001 00:00:00,"","",1,200,200,"" 
"002","00033742260",9,171.1,"LIU",1,"CSC",50,"SIN","07801434000924","","","","","AJI MERKEN 15GR.                  *",6176.71,"No Existe!","","Producto No Existe en Syspal o no posee código Flexline","",0,01/01/0001 00:00:00,01/01/0001 00:00:00,"","",1,171.1,171.1,"" 
"002","00033742260",10,168.2,"LIU",1,"CSC",50,"SIN","07801434001082","","","","","COMINO ENTERO 15GR.               *",6072.02,"No Existe!","","Producto No Existe en Syspal o no posee código Flexline","",0,01/01/0001 00:00:00,01/01/0001 00:00:00,"","",1,168.2,168.2,"" 
"002","00033742260",11,168.2,"LIU",1,"CSC",50,"SIN","07801434001112","","","","","COMINO MOLIDO 15GR.               *",6072.02,"No Existe!","","Producto No Existe en Syspal o no posee código Flexline","",0,01/01/0001 00:00:00,01/01/0001 00:00:00,"","",1,168.2,168.2,"" 
"002","00033742260",12,276.3,"LIU",1,"CSC",50,"SIN","07801434001266","","","","","PIMIENTA NGR.ENTERA 15GR.         *",9974.43,"No Existe!","","Producto No Existe en Syspal o no posee código Flexline","",0,01/01/0001 00:00:00,01/01/0001 00:00:00,"","",1,276.3,276.3,"" 
"002","00033742260",13,276.3,"LIU",1,"CSC",50,"SIN","07801434001280","","","","","PIMIENTA NGR.MOLIDA 15GR.         *",9974.43,"No Existe!","","Producto No Existe en Syspal o no posee código Flexline","",0,01/01/0001 00:00:00,01/01/0001 00:00:00,"","",1,276.3,276.3,"" 
"002","00033742260",14,278,"LIU",1,"CSC",50,"SIN","07801434001259","","","","","PIMIENTA BCA.ENTERA 15GR.         *",10035.8,"No Existe!","","Producto No Existe en Syspal o no posee código Flexline","",0,01/01/0001 00:00:00,01/01/0001 00:00:00,"","",1,278,278,"" 
"002","00033742260",15,302.6,"LIU",1,"CSC",50,"SIN","07801434001242","","","","","PIMIENTA BCA.MOLIDA 15GR.         *",10923.86,"No Existe!","","Producto No Existe en Syspal o no posee código Flexline","",0,01/01/0001 00:00:00,01/01/0001 00:00:00,"","",1,302.6,302.6,"" 
"002","00033829480",1,183,"LIU",1,"CSC",50,"SIN","07801434001846","","","","","OREGANO ENTERO 20GR.              *",6606.3,"No Existe!","","Producto No Existe en Syspal o no posee código Flexline","",0,01/01/0001 00:00:00,01/01/0001 00:00:00,"","",1,183,183,"" 
"002","00033829480",2,114.5,"LIU",1,"CSC",50,"SIN","07801434000870","","","","","ALINO COMPLETO 15GR.              *",4133.45,"No Existe!","","Producto No Existe en Syspal o no posee código Flexline","",0,01/01/0001 00:00:00,01/01/0001 00:00:00,"","",1,114.5,114.5,"" 
"002","00033829480",3,131.6,"LIU",1,"CSC",50,"SIN","07801434001150","","","","","POLVO CURRY 10GR.                 *",4750.76,"No Existe!","","Producto No Existe en Syspal o no posee código Flexline","",0,01/01/0001 00:00:00,01/01/0001 00:00:00,"","",1,131.6,131.6,"" 
"002","00033829480",4,131.6,"LIU",1,"CSC",50,"SIN","07801434001211","","","","","OREGANO MOLIDO 10GR.              *",4750.76,"No Existe!","","Producto No Existe en Syspal o no posee código Flexline","",0,01/01/0001 00:00:00,01/01/0001 00:00:00,"","",1,131.6,131.6,"" 
"002","00033829480",5,131.6,"LIU",1,"CSC",50,"SIN","07801434000993","","","","","AJO EN POLVO 15GR.                *",4750.76,"No Existe!","","Producto No Existe en Syspal o no posee código Flexline","",0,01/01/0001 00:00:00,01/01/0001 00:00:00,"","",1,131.6,131.6,"" 
"002","00033829480",6,126.3,"LIU",1,"CSC",50,"SIN","07801434001068","","","","","CLAVO DE OLOR ENTERO 4GR.         *",4559.43,"No Existe!","","Producto No Existe en Syspal o no posee código Flexline","",0,01/01/0001 00:00:00,01/01/0001 00:00:00,"","",1,126.3,126.3,"" 
"002","00033829480",7,139.6,"LIU",1,"CSC",50,"SIN","07801434000955","","","","","AJI DE COLOR 15GR.                *",5039.56,"No Existe!","","Producto No Existe en Syspal o no posee código Flexline","",0,01/01/0001 00:00:00,01/01/0001 00:00:00,"","",1,139.6,139.6,"" 
